地区,名称,地址,级别
安徽,安徽博物院,安徽省合肥市庐阳区怀宁路268号（新馆），合肥市安庆路268号（老馆）,国家一级
安徽,安庆市博物馆,安徽省安庆市迎江区湖心中路6-2号,国家二级
安徽,淮北市博物馆,安徽省淮北市博物馆路1号,国家二级
安徽,淮南市博物馆,安徽省淮南市洞山中路15号,国家二级
安徽,新四军军部旧址纪念馆,安徽省宣城市泾县云岭镇罗里村,国家二级
安徽,渡江战役纪念馆,安徽省合肥市包河区云谷路299号,无级别
安徽,安徽中国徽州文化博物馆,安徽省屯溪区迎宾大道50号,国家一级
安徽,安徽中国黄梅戏博物馆,安徽省安庆市迎江区菱湖南路102号,国家二级
安徽,寿县博物馆,安徽省淮南市寿县寿春镇大街,国家二级
安徽,安徽祁红博物馆,安徽省祁门县华扬工业园区,国家二级
安徽,亳州市博物馆,安徽省亳州市谯城区芍花大道 209号,国家三级
安徽,李鸿章故居陈列馆,安徽省合肥市庐阳区淮河路208号,国家三级
安徽,宿州市博物馆,安徽省宿州市埇桥区通济一路8号,国家三级
安徽,巢湖市博物馆,安徽省合肥市巢湖市放王岗,国家三级
安徽,合肥科技馆,安徽省合肥市蜀山区黄山路446号,无级别
安徽,安徽名人馆,安徽省合肥市蜀山区西郊玉兰大道8号,无级别
安徽,安徽省源泉徽文化民俗博物馆,安徽省合肥市蜀山区科学院路现代农业示范园1号,无级别
安徽,子木园博物馆,安徽省合肥市蜀山区科学岛路现代农业示范园,无级别
安徽,渡江战役总前委旧址纪念馆,安徽省合肥市肥东县撮镇瑶岗村肥东渡江战役总前委旧址,国家三级
安徽,合肥市巢湖艺术馆,安徽省巢湖市健康东路11号,无级别
安徽,巢湖三友堂民俗馆,安徽省合肥市巢湖市银屏路79号,无级别
安徽,刘铭传旧居,安徽省合肥市肥西县城西37公里紫蓬山大潜山北麓井王店北刘老圩,无级别
安徽,黄山区博物馆,安徽省黄山市黄山区太平东路20号,国家三级
安徽,马鞍山市博物馆,安徽省马鞍山市雨山区太白大道2006—1号,国家三级
安徽,马鞍山市朱然家族墓地博物馆,安徽省马鞍山市雨山区朱然路3号,国家三级
安徽,天长市博物馆,安徽省滁州市天长市石梁西路131号,国家三级
安徽,金寨县革命博物馆,安徽省六安市金寨县梅山镇红村路35号,国家三级
安徽,潜山县博物馆,安徽省安庆市潜山市梅城镇皖光苑路28号,国家三级
安徽,桐城市博物馆,安徽省桐城市铜官区龙眠中路2号,国家三级
安徽,铜陵市博物馆,安徽省铜陵市铜官区学院路477号,国家三级
安徽,宣城市博物馆,安徽省宣城市宣州区叠嶂东路府山广场,国家三级
安徽,淮海战役总前委和华东野战军指挥部旧址,安徽省宿州市萧县丁里镇蔡洼村,国家三级
安徽,广德县博物馆,安徽省宣城市广德县桐汭西路青少年活动中心三楼,国家三级
安徽,淮北市刘开渠纪念馆,安徽省淮北市相山区相山北路2号,国家三级
安徽,萧县博物馆,安徽省宿州市萧县龙城镇民治街68号,国家三级
安徽,阜阳市博物馆,安徽省阜阳市颍州区清河东路339号,国家三级
安徽,池州市秀上门博物馆,安徽省池州市贵池区杏村西路302号,国家三级
安徽,歙县博物馆,安徽省黄山市歙县披云路10号,国家三级
安徽,祁门县博物馆,安徽省黄山市祁门县文峰南路,国家三级
安徽,德化堂古床博物馆,安徽省马鞍山市雨山区康乐路51号2,无级别
安徽,铜陵市国盛民俗博物馆,安徽省铜陵市经济开发区翠湖五路18号,无级别
安徽,华夏丝绸博物馆（阜阳),安徽省阜阳市颍州区经济技术开发区新安大道76号,无级别
安徽,黄山麟圣博物馆,安徽省黄山市休宁县兰田镇,无级别
安徽,黄山徽茶文化博物馆,安徽省黄山市徽州区迎宾大道118号,无级别
安徽,黄山市徽州糕饼博物馆,安徽省黄山市屯溪区迎宾大道38号,无级别
安徽,涡阳县老子博物馆,安徽省毫州市涡阳县闸北镇郑店村天静宫东侧,无级别
安徽,泾县王稼祥故居纪念馆,安徽省宣城市泾县桃花潭镇厚岸村,无级别
安徽,绩溪县博物馆,安徽省宣城市绩溪县华阳镇良安路100号,无级别
安徽,青阳县博物馆,安徽省池州市青阳县蓉城镇公园路113号,无级别
安徽,池州市博物馆,安徽省池州市贵池区池阳路229号,无级别
安徽,王稼祥纪念园,安徽省芜湖市镜湖区中山北路23号,无级别
安徽,孙叔敖纪念馆,安徽省淮南市寿县安丰塘镇,无级别
安徽,吴敬梓纪念馆,安徽省滁州市全椒县河湾街88号,无级别
安徽,岩寺新四军军部旧址纪念馆,安徽省黄山市徽州区岩寺滨河南路39号,无级别
安徽,黄山市屯溪区戴震纪念馆,安徽省黄山市屯溪区老街立新巷1号,无级别
安徽,淮南市大通万人坑教育馆,安徽省淮南市大通区原大通矿南（南山路）,无级别
安徽,含山博物馆,安徽省马鞍山市含山县环峰镇清溪路东侧,无级别
安徽,皖西博物馆,安徽省六安市金安区佛子岭中路市行政中心东侧,无级别
安徽,李克农故居,安徽省合肥市巢湖市烔炀镇中李村,无级别
安徽,歙县徽派版画博物馆,安徽省歙县徽城镇七里头徽州艺术品市场16幢,无级别
安徽,黄山风景区博物馆,安徽省黄山风景区慈光阁博物馆,无级别
安徽,九河博物馆,安徽省蚌埠市五河县沱湖小区15排,无级别
安徽,金馈博物馆,安徽省蚌埠市花鼓灯嘉年华7号楼,无级别
安徽,三河民俗博物馆,安徽省肥西县三河镇南街,无级别
安徽,安徽福光艺术博物馆,安徽省合肥市大连路6号,无级别
安徽,燕诒博物馆,安徽省合肥科学岛路农业示范园内,无级别
安徽,黄山古典家具博物馆,安徽省黟县宏村镇龙江村,无级别
安徽,黄山徽明坊古典家具博物馆,安徽省黄山市徽州区惠兴路9号,无级别
安徽,黄山太平猴魁博物馆,安徽省黄山工业园区,无级别
安徽,古井酒文化博物馆,安徽省亳州市谯城区古井镇,无级别
安徽,淮北市钟源阁红色文化博物馆,安徽省相山区国际商城步行街9幢101、102、201、202,无级别
安徽,广德县皖南朝晖竹木雕刻博物馆,安徽省广德县彩虹桥滨河公园东岸,无级别
安徽,芜湖丫山地质博物馆,安徽省芜湖市南陵县何湾镇丫山街道,无级别
安徽,芜湖市徽商博物馆,安徽省芜湖市九华中路151号,无级别
安徽,六安市玉石奇石博物馆,安徽省六安市长安南路行政中心金皖西和谐园一楼,无级别
安徽,安徽缘酒文化博物馆,安徽省安庆市枞阳县陈瑶湖镇黄酒园,无级别
安徽,徽萃山林博物馆,安徽省舒城县万佛湖风景区,无级别
安徽,迎驾酒文化博物馆,安徽省皖霍山县佛子岭镇,无级别
安徽,文德堂艺术博物馆,安徽省阜阳市经济技术开发区永安花园,无级别
安徽,临泉毛笔博物馆,安徽省阜阳市临泉县谭棚镇变电所东,无级别
安徽,祁门红茶博物馆,安徽省祁门县五里牌,无级别
安徽,黄山民间工艺艺术博物馆,安徽省黟县碧阳大道83号,无级别
安徽,黟县茶博物馆,安徽省黟县城南新区（黟县茶城）,无级别
安徽,万春博物馆,安徽省黟县宏村镇粮站内,无级别
安徽,金星民间博物馆,安徽省黟县县城翼然路,无级别
安徽,安徽万安罗经文化博物馆,安徽省休宁县万安镇上街70号,无级别
安徽,见明堂民俗博物馆,安徽省休宁县新城区齐云丽庭2-26号,无级别
安徽,徽州雕艺博物馆,安徽省黄山市歙县徽园38号,无级别
安徽,新安国医博物馆,安徽省歙县深渡镇定潭村,无级别
安徽,歙县鲍家花园徽派盆景艺术博物馆,安徽省黄山市歙县郑村镇棠樾村,无级别
安徽,歙县新安歙砚艺术博物馆,安徽省歙县徽州新天地4004号,无级别
安徽,歙县古城墨砚博物馆,安徽省歙县郑村镇郑村路口芜屯南侧,无级别
安徽,黄山市乌金园猪文化博物馆,安徽省徽州区岩寺镇小岩大柏石慈爱路76号,无级别
安徽,黄山市徽州区谢裕大茶叶博物馆,安徽省徽州区城北工业园文峰西路1号,无级别
安徽,黄山市徽派雕刻博物馆,安徽省徽州区,无级别
安徽,黄山区民俗非遗博物馆,安徽省黄山区耿城镇饶村,无级别
安徽,黄山奇石博物馆,安徽省黄山市黄山区工业园区,无级别
安徽,黄山区民间博物馆,安徽省黄山区新长途汽车站至太平湖方向500米处,无级别
安徽,黄山市老街古玩艺术珍宝博物馆,安徽省黄山市老街下马路32号,无级别
安徽,黄山蕲蛇博物馆,安徽省屯溪区新安北路63-1号,无级别
安徽,徽墨文房博物馆,安徽省屯溪区延安路老虎山5号,无级别
安徽,万粹楼博物馆,安徽省屯溪区老街143号,无级别
安徽,黄山徽字号雕刻文化博物馆,安徽省黄山经济开发区梅林大道徽文化产业园,无级别
安徽,黄山松萝茶文化博物馆,安徽省黄山市休宁县经济开发区,无级别
安徽,蒙城县博物馆,安徽省亳州市蒙城县庄周街道庄子大道与仁和路交汇处,无级别
安徽,涡阳县新四军四师纪念馆,安徽省亳州市涡阳县新兴镇雪枫东路11号,无级别
安徽,华佗纪念馆,安徽省亳州市谯城区城内东北隅永安街12号华祖庵内,无级别
安徽,华佗中医药文化博物馆,安徽省谯城区永安街13号,无级别
安徽,淮海战役双堆集歼灭战纪念馆,安徽省濉溪县双堆集镇,无级别
安徽,淮北市矿山博物馆,安徽省淮北市烈山区烈山镇南湖东岸,无级别
安徽,茂林三吴纪念馆,安徽省宣城市泾县茂林镇,无级别
安徽,宁国市博物馆,安徽省宁国市滨河路56号,无级别
安徽,绩溪县三雕博物馆,安徽省绩溪县华阳镇良安路曹家井39号,无级别
安徽,郎溪县博物馆,安徽省郎溪县建平镇新胜街34号,无级别
安徽,金牛洞古采矿遗址陈列馆,安徽省铜陵市顺安镇凤凰行政村境内,无级别
安徽,岳西红军中央独立第二师司令部旧址纪念馆,安徽省安庆市岳西县东山村汪氏宗祠,无级别
安徽,岳西红二十八军军政旧址纪念馆,安徽省安庆市岳西县包家乡鹞落坪自然保护区,无级别
安徽,望江县博物馆,安徽省望江县回龙西路文庙巷1号,无级别
安徽,太湖县赵朴初生平陈列馆,安徽省安庆市太湖县寺前镇,无级别
安徽,太湖县博物馆,安徽省太湖县外环东路皖街,无级别
安徽,宿松县博物馆,安徽省宿松县人民中路109号,无级别
安徽,怀宁县博物馆,安徽省怀宁县稼先路81号,无级别
安徽,中共安庆建党会议旧址陈列馆,安徽省安庆市大观区孝子坊街,无级别
安徽,严凤英故居陈列馆,安徽省安庆市宜秀区罗岭镇黄梅村,无级别
安徽,陈独秀生平事迹陈列馆,安徽省安庆市大观区十里铺乡,无级别
安徽,安庆市赵朴初故居陈列馆,安徽省安庆市迎江区天台里街9号,无级别
安徽,九华山历史文物馆,安徽省池州市九华山风景区九华街花城路41号,无级别
安徽,新四军第七师纪念馆,安徽省芜湖市无为县红庙镇三水涧村,无级别
安徽,无为县米芾纪念馆,安徽省芜湖市无为县无城镇米公祠12号,无级别
安徽,南陵县博物馆,安徽省南陵县籍山镇陵阳中路,无级别
安徽,繁昌县博物馆,安徽省繁昌县繁阳镇迎春西路745号,无级别
安徽,安徽师范大学博物馆,安徽省芜湖市花津南路92号,无级别
安徽,安徽文化名人藏馆,安徽省芜湖市镜湖路3号,无级别
安徽,芜湖市博物馆,安徽省鸠江区中江大道和仁和路交叉口,无级别
安徽,金寨历史文物馆,安徽省金寨县梅山镇金寨县文化中心6楼,无级别
安徽,新四军皖西革命纪念馆,安徽省六安市舒城县高峰乡东港村,无级别
安徽,霍山县博物馆,安徽省霍山县衡山镇文盛街16号,无级别
安徽,苏埠战役纪念馆,安徽省六安市裕安区苏埠镇,无级别
安徽,许继慎纪念馆,安徽省六安市裕安区青山乡,无级别
安徽,六霍起义纪念馆,安徽省六安市裕安区独山镇,无级别
安徽,灵璧县博物馆,安徽省宿州市灵璧县奇石文化园内,无级别
安徽,泗县博物馆,安徽省宿州市泗县开发区府前广场南侧,无级别
安徽,砀山县博物馆,安徽省宿州市砀山县梨花路,无级别
安徽,彭雪枫纪念馆,安徽省宿州市埇桥区雪枫路1号,无级别
安徽,界首市博物馆,安徽省阜阳市界首市胜利东路文化活动中心,无级别
安徽,皖北民俗博物馆,安徽省阜阳市颍东区袁寨镇中原路程文炳宅院,无级别
安徽,太和县博物馆,安徽省阜阳市太和县文庙院内,无级别
安徽,管仲博物馆,安徽省阜阳市颍上县解放北路管仲商贸城内,无级别
安徽,阜阳四九暴动旧址纪念馆,安徽省阜阳市颍泉区行流镇王官集行政村,无级别
安徽,滁州市博物馆,安徽省滁州市政务新区西南角,无级别
安徽,定远县博物馆,安徽省定远县花园湖公园内,无级别
安徽,凤阳县博物馆,安徽省凤阳县府城镇东华路142号,无级别
安徽,来安县博物馆,安徽省来安县新城区,无级别
安徽,来安县皖东革命纪念馆,安徽省滁州市来安县,无级别
安徽,明光市博物馆,安徽省明光市明法路东侧抹山大道西侧,无级别
安徽,嘉山县抗日民主政府纪念馆,安徽省明光市自来桥镇老街道东部,无级别
安徽,全椒县博物馆,安徽省全椒县襄河镇,无级别
安徽,全椒县周家岗革命烈士纪念馆,安徽省全椒县周岗街道,无级别
安徽,天长市中国人民抗日军政大学第八分校纪念馆,安徽省滁州市天长市铜城镇龙岗村,无级别
安徽,柯村暴动纪念馆,安徽省黄山市黟县柯村镇,无级别
安徽,黟县博物馆,安徽省黟县政府大院,无级别
安徽,休宁龙湾五城茶干工艺博物馆,安徽省休宁县五城镇龙湾工业园区,无级别
安徽,休宁县状元博物馆,安徽省休宁县状元文化广场1号,无级别
安徽,歙县巴慰祖故居博物馆,安徽省歙县渔梁路77号,无级别
安徽,歙县新安医学陈列馆,安徽省黄山市歙县大北街100号,无级别
安徽,安徽省陶行知纪念馆,安徽省黄山市歙县徽城镇中和街98号,无级别
安徽,歙县黄宾虹纪念馆,安徽省黄山市歙县徽城镇打箍井街7-9号,无级别
安徽,潜口民宅博物馆,安徽省徽州区潜口镇潜口村潜黄路1号,无级别
安徽,黄山区红军北上抗日先遣队纪念馆,安徽省黄山市黄山区谭家桥镇,无级别
安徽,程大位珠算博物馆,安徽省黄山市屯溪区前园南路52—2号,无级别
安徽,黄山市屯溪区博物馆,安徽省屯溪区老街168号,无级别
安徽,黄山市徽州税文化博物馆,安徽省黄山市屯溪区黄山东路109号,无级别
安徽,林散之艺术馆,安徽省马鞍山市雨山区采石镇牛渚社区唐贤街2号,无级别
安徽,李白纪念馆,安徽省马鞍山市雨山区采石镇牛渚社区唐贤街1号,无级别
安徽,李白墓园博物馆,安徽省马鞍山当涂县太白镇太白村,无级别
安徽,刘禹锡纪念馆,安徽省马鞍山市和县历阳镇陋室东街,无级别
安徽,和县革命烈士纪念馆,安徽省马鞍山市和县白桥镇,无级别
安徽,和县博物馆,安徽省和县历阳路138号,无级别
安徽,怀远县博物馆,安徽省怀远县城关镇西岗街怀远一中南校,无级别
安徽,固镇县博物馆,安徽省蚌埠市固镇县浍河路190号,无级别
安徽,蚌埠市博物馆,安徽省蚌埠市蚌山区胜利中路51号,无级别
安徽,肥东县博物馆,安徽省肥东县文广大厦7楼,无级别
安徽,新四军江北指挥部纪念馆,安徽省合肥市庐江县汤池镇相思林风景区,无级别
安徽,周瑜墓园陈列馆,安徽省庐江县庐城镇军二东路,无级别
安徽,冯玉祥将军纪念馆,安徽省合肥市巢湖市夏阁镇竹柯村,无级别
安徽,张治中将军纪念馆,安徽省合肥市巢湖市黄麓镇洪家瞳村,无级别
安徽,赖少其艺术馆,安徽省合肥市石台路艺术公园内,无级别
安徽,安徽省地质博物馆,安徽省合肥市政务区仙龙湖路999号,无级别
安徽,中国科学技术大学博物馆,安徽省合肥市金寨路96号,无级别
安徽,安徽省农业博物馆,安徽省合肥市徽州大道136号,无级别
北京,故宫博物院,东城区,国家一级
北京,中国国家博物馆,东城区,国家一级
北京,首都博物馆,西城区,国家一级
北京,中国人民革命军事博物馆,海淀区,国家一级
北京,北京自然博物馆,东城区,国家一级
北京,中国科学技术馆,朝阳区,国家一级
北京,北京鲁迅博物馆,西城区,国家一级
北京,中国航空博物馆,昌平区,国家一级
北京,中国人民抗日战争纪念馆,丰台区,国家一级
北京,中国农业博物馆,朝阳区,国家一级
北京,周口店北京人遗址博物馆,房山区,国家一级
北京,北京天文馆,西城区,国家二级
北京,孔庙国子监博物馆,东城区,国家二级
北京,北京古代建筑博物馆,西城区,国家二级
北京,恭王府博物馆,西城区,国家二级
北京,明十三陵博物馆,昌平区,国家二级
北京,中国铁道博物馆,西城区,国家二级
北京,中国电信博物馆,海淀区,国家二级
北京,大钟寺古钟博物馆,海淀区,国家二级
北京,北京民俗博物馆,朝阳区,国家三级
北京,北京文博交流馆,东城区,国家三级
北京,詹天佑纪念馆,延庆区,国家三级
北京,北京大葆台西汉墓博物馆,丰台区,国家三级
北京,北京辽金城垣博物馆,丰台区,国家三级
北京,北京西周燕都遗址博物馆,房山区,国家三级
北京,中国长城博物馆,延庆区,国家三级
北京,北京石刻艺术博物馆,海淀区,国家三级
北京,中国国家动物博物馆,朝阳区,无级别
北京,国家动物博物馆,朝阳区,无级别
北京,北京水生野生动物博物馆,,无级别
北京,中国园林博物馆,丰台区,无级别
北京,中国坦克博物馆,昌平区,无级别
北京,北京古钱币展览馆,西城区,无级别
北京,北京松堂斋民间雕刻博物馆,东城区,无级别
北京,北京御仙都皇家菜博物馆,海淀区,无级别
北京,北京英杰硬石艺术博物馆,朝阳区,无级别
北京,北京晋商博物馆,朝阳区,无级别
北京,北京百年世界老电话博物馆,西城区,无级别
北京,老爷车博物馆,怀柔区,无级别
北京,北京崔永平皮影艺术博物馆,通州区,无级别
北京,北京中国紫檀博物馆,朝阳区,无级别
北京,保利艺术博物馆,东城区,无级别
北京,何扬·吴茜现代绘画馆,朝阳区,无级别
北京,古陶文明博物馆,西城区,无级别
北京,观复博物馆,朝阳区,无级别
北京,炎黄艺术馆,朝阳区,无级别
北京,北京中华民族博物院,朝阳区,无级别
北京,老甲艺术馆,昌平区,无级别
北京,北京御生堂中医药博物馆,昌平区,无级别
北京,北京金台艺术馆,朝阳区,无级别
北京,中国马文化博物馆,延庆区,无级别
北京,和苑博物馆,朝阳区,无级别
北京,铁道兵纪念馆,海淀区,无级别
北京,北京励志堂科举扁额博物馆,朝阳区,无级别
北京,北京东韵民族艺术博物馆,朝阳区,无级别
北京,盛锡福博物馆,东城区,无级别
北京,中华航天博物馆,丰台区,无级别
北京,北京怀柔喇叭沟门满族民俗博物馆,怀柔区,无级别
北京,中国法院博物馆,东城区,无级别
北京,延庆地质博物馆,延庆区,无级别
北京,平谷博物馆,平谷区,无级别
北京,园林博物馆,丰台区,无级别
北京,中国海关博物馆,东城区,无级别
北京,北京奥运博物馆,朝阳区,无级别
北京,中国传媒大学传媒博物馆,朝阳区,无级别
北京,西藏文化博物馆,朝阳区,无级别
北京,民航博物馆,朝阳区,无级别
北京,中国消防博物馆,西城区,无级别
北京,北京市房山世界地质公园博物馆,房山区,无级别
北京,中国妇女儿童博物馆,东城区,无级别
北京,中国化工博物馆,海淀区,无级别
北京,中国民兵武器装备陈列馆,通州区,无级别
北京,北京汽车博物馆,丰台区,无级别
北京,北京市怀柔区怀柔博物馆,怀柔区,无级别
北京,北京空竹博物馆,西城区,无级别
北京,中国人民大学博物馆,海淀区,无级别
北京,中国科学院动物研究所标本展示馆,朝阳区,无级别
北京,延庆博物馆,延庆区,无级别
北京,北京西瓜博物馆,大兴区,无级别
北京,北京韩美林艺术馆,通州区,无级别
北京,北京通信电信博物馆,西城区,无级别
北京,历代帝王庙,西城区,无级别
北京,中国铁道博物馆正阳门馆,东城区,无级别
北京,中国电影博物馆,朝阳区,无级别
北京,北京李大钊故居,西城区,无级别
北京,北京百工博物馆,东城区,无级别
北京,北京宣南文化博物馆,西城区,无级别
北京,居庸关长城博物馆,昌平区,无级别
北京,北京市海淀区博物馆,海淀区,无级别
北京,北京人民艺术剧院戏剧博物馆,东城区,无级别
北京,北京皇城艺术馆,东城区,无级别
北京,中国印钞造币博物馆,西城区,无级别
北京,北京王府井古人类文化遗址博物馆,东城区,无级别
北京,北京自来水博物馆,东城区,无级别
北京,北京警察博物馆,东城区,无级别
北京,北京服装学院民族服饰博物馆,朝阳区,无级别
北京,中华世纪坛世界艺术馆,海淀区,无级别
北京,北京工艺美术博物馆,东城区,无级别
北京,坦克博物馆,昌平区,无级别
北京,北京麋鹿苑博物馆,大兴区,无级别
北京,老舍纪念馆,东城区,无级别
北京,北京戏曲博物馆,西城区,无级别
北京,北京航空航天模型博物馆,海淀区,无级别
北京,北京上庄纳兰性德史迹陈列馆,海淀区,无级别
北京,香山双清别墅,海淀区,无级别
北京,曹雪芹纪念馆,海淀区,无级别
北京,北京中医药大学中医药博物馆,朝阳区,无级别
北京,冀热察挺进军司令部旧址陈列馆,门头沟区,无级别
北京,平北抗日战争纪念馆,延庆区,无级别
北京,平西人民抗日斗争纪念馆,房山区,无级别
北京,卢沟桥历史博物馆,丰台区,无级别
北京,北京慈悲庵,西城区,无级别
北京,中国蜜蜂博物馆,海淀区,无级别
北京,中国现代文学馆,朝阳区,无级别
北京,中国钱币博物馆,西城区,无级别
北京,北京茅盾故居,东城区,无级别
北京,大觉寺,海淀区,无级别
北京,圆明园展览馆,海淀区,无级别
北京,中国国家画院美术馆,海淀区,无级别
北京,法海寺,石景山区,无级别
北京,北京钟鼓楼,东城区,无级别
北京,永定河文化博物馆,门头沟区,无级别
北京,文天祥祠,东城区,无级别
北京,团城演武厅,海淀区,无级别
北京,北京市东南城角角楼,东城区,无级别
北京,正阳门,东城区,无级别
北京,北京红楼文化艺术博物馆,西城区,无级别
北京,中国印刷博物馆,大兴区,无级别
北京,中国第四纪冰川遗迹陈列馆,石景山区,无级别
北京,郭守敬纪念馆,西城区,无级别
北京,上宅文化陈列馆,平谷区,无级别
北京,北京长辛店二·七纪念馆,丰台区,无级别
北京,山戎文化陈列馆,延庆区,无级别
北京,通州区博物馆,通州区,无级别
北京,北京市昌平区博物馆,昌平区,无级别
北京,密云县博物馆,密云区,无级别
北京,北京房山云居寺石经博物馆,房山区,无级别
北京,中央美术学院美术馆,朝阳区,无级别
北京,北京航空馆,海淀区,无级别
北京,中央民族大学民族博物馆,海淀区,无级别
北京,焦庄户地道战遗址纪念馆,顺义区,无级别
北京,李大钊烈士陵园,海淀区,无级别
北京,北京市白塔寺,西城区,无级别
北京,北京大学赛克勒考古与艺术博物馆,海淀区,无级别
北京,北京古代钱币博物馆,西城区,无级别
北京,雍和宫藏传佛教艺术博物馆,东城区,无级别
北京,中国佛教图书文物馆,西城区,无级别
北京,梅兰芳纪念馆,西城区,无级别
北京,郭沫若纪念馆,西城区,无级别
北京,中国邮政邮票博物馆,东城区,无级别
北京,北京艺术博物馆,海淀区,无级别
福建,福建博物院,福建省福州市鼓楼区湖头街96号,国家一级
福建,福建中国闽台缘博物馆,福建省泉州市丰泽区北清东路212号,国家一级
福建,福建省泉州海外交通史博物馆,福建省泉州市丰泽区东湖街425号,国家一级
福建,古田会议纪念馆,福建省龙岩市上杭县古田镇古田路76号,国家一级
福建,华侨博物院,福建省厦门市思明南路493号,国家二级
福建,福建省革命历史纪念馆,福建省福州市晋安区福马路988号鼓山下院,国家二级
福建,福州市博物馆,福建省福州市晋安区文博路8号,国家二级
福建,晋江市博物馆,福建省晋江市世纪大道382号,国家二级
福建,漳州市博物馆,福建省漳州市龙文区迎宾路与龙文路交接处,国家二级
福建,泉州市博物馆,福建省泉州市丰泽区北清东路西湖公园北侧,国家二级
福建,德化县陶瓷博物馆,福建省德化县浔中镇唐寨山,国家二级
福建,中央苏区（闽西）历史博物馆,福建省龙岩市新罗区北环西路51号,国家二级
福建,龙岩博物馆,福建省龙岩市新罗区和平路32号,国家三级
福建,福建闽越王城博物馆,福建省武夷山市兴田镇城村村,国家三级
福建,泉州华侨历史博物馆,福建省泉州市丰泽区东湖街732号,国家三级
福建,厦门奥林匹克博物馆,福建省厦门市思明区吕岭路2017号,无级别
福建,厦门市博物馆,福建省厦门市思明区体育路95号文化艺术中心,无级别
福建,厦门大学人类学博物馆,福建省厦门市,无级别
福建,鼓浪屿钢琴博物馆,福建省厦门市,无级别
福建,厦门桥梁博物馆,福建省厦门市,无级别
福建,厦门郑成功纪念馆,福建省厦门市思明区永春路73号,无级别
福建,陈嘉庚纪念馆,福建省厦门市集美区浔江路8号,无级别
福建,厦门猫咪博物馆,福建省厦门市,无级别
福建,福建省源古历史博物馆,福建省厦门市湖里区五缘湾文化展览苑B区B2,无级别
福建,厦门市同安区博物馆,福建省厦门市同安区大同街道同安孔庙,无级别
福建,厦门国防教育展览馆,福建省厦门市思明区狮山之巅万石植物园内,无级别
福建,福建省九朝汇宝博物馆,福建省厦门市五缘湾文化展览苑A区9栋,无级别
福建,长乐市博物馆,福建省长乐市爱心路198号,国家二级
福建,上杭县博物馆,福建省上杭县临江镇临江路52号,国家二级
福建,福州市船政文化博物馆,福建省福州市马尾区昭忠路7号,国家三级
福建,福建省昙石山遗址博物馆,福建省福州市闽侯县甘蔗街道昙石村330号,国家三级
福建,莆田市博物馆,福建省莆田市荔城区文献东路99号,国家三级
福建,安溪县博物馆,福建省安溪县凤城镇大同路141号,国家三级
福建,宁德市博物馆,福建省宁德市东侨经济开发区华庭路西侧艺术馆大楼内,国家三级
福建,漳平市博物馆,福建省漳平市东山公园内,国家三级
福建,长汀县博物馆,福建省长汀县汀州镇兆征路41号,国家三级
福建,武平县博物馆,福建省武平县平川镇西厢村马头山公园旁,国家三级
福建,毛泽东才溪乡调查纪念馆,福建省龙岩市上杭县才溪镇,国家三级
福建,建宁中央苏区反“围剿”纪念馆,福建省建宁县溪口镇溪口街49号,国家三级
福建,泰宁县博物馆,福建省泰宁县杉城镇尚书巷28号,国家三级
福建,三明市博物馆,福建省三明市梅列区贵溪洋城市文化广场,国家三级
福建,邵武市博物馆,福建省南平市邵武市小东门15号,国家三级
福建,东山县博物馆,福建省漳州市东山县铜陵镇,国家三级
福建,泉州闽台关系史博物馆,无,无级别
福建,武夷山林氏陶瓷博物馆,福建省武夷山市三姑度假区东辉商厦2楼,无级别
福建,福建省海丝外销瓷博物馆,福建省浦城县荣兴食品园10号楼二层、三层和七层。,无级别
福建,福建省邵武市南武夷古陶瓷博物馆,福建省邵武市天成奇峡景区锦溪坊,无级别
福建,福建省土楼自然博物馆,福建省龙岩市永定区湖坑镇福建土楼风情街,无级别
福建,福建省客家红博物馆,福建省连城县百花金城3号楼2楼,无级别
福建,福建省印象五号石文化博物馆,福建省泉州市南安市水头镇海联创业园印象五号石材文化创意园,无级别
福建,德化县金煌陶瓷博物馆,福建省德化县瓷都大道边,无级别
福建,福建省黄羲博物馆,福建省仙游县鲤南九隆商住楼509、510,无级别
福建,福建省仙游竹木人家文化艺术博物馆,福建省仙游县鲤南工业园区,无级别
福建,福建省鼓浪屿馅饼食品文化博物馆,福建省厦门市前埔中二路838-840号,无级别
福建,厦门观复博物馆,福建省厦门市鼓浪屿港后路菽庄花园内,无级别
福建,福建省桢楠文化艺术博物馆,福建省福州市鼓楼区南后街三坊七巷安民巷47号鄢家花厅,无级别
福建,福建省林如高纪念馆,福建省福州市南郊红星农场盘屿大头村2号,无级别
福建,福建省福博物馆,福建省福州市鼓楼区三坊七巷宫巷11号,无级别
福建,福建省尔雅茶文化史博物馆,福建省福州市鼓楼区软件大道89号A18,无级别
福建,光泽县博物馆,福建省光泽县217路124号,无级别
福建,政和县博物馆,福建省政和县中元路6号,无级别
福建,松溪县博物馆,福建省松溪县文化广场,无级别
福建,浦城县博物馆,福建省南平市浦城县交通路6号,无级别
福建,顺昌县博物馆,福建省顺昌县中山中路51号,无级别
福建,武夷山市博物馆,福建省武夷山市风景区仿宋古街,无级别
福建,建瓯市博物馆,福建省建瓯市仓长路163号,无级别
福建,南平市建阳区博物馆,福建省南平市建阳区上水南路42-44号,无级别
福建,南平市博物馆,福建省南平市马坑路124号,无级别
